discord_uuid,discord_name,riot_id,tracker,pr,team
878396555080650762,wahakamaba,suteanos#MIH,https://tracker.gg/valorant/profile/riot/suteanos%23MIH/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,No Mod 1
698437817906364487,dwt507,Gibby#0123,https://tracker.gg/valorant/profile/riot/Gibby%230123/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,Gibby's Gooners
727378403870638100,cx297,Vortex297#7772,https://tracker.gg/valorant/profile/riot/Vortex297%237772/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Gibby's Gooners
471746261901508608,fr_eli,deeno#WMG6,https://tracker.gg/valorant/profile/riot/deeno%23WMG6/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Gibby's Gooners
300015686246334468,epicfails21,S13#2322,https://tracker.gg/valorant/profile/riot/S13%232322/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,1,Gibby's Gooners
191437884899852289,nabber.,Nabber#liz,https://tracker.gg/valorant/profile/riot/Nabber%23liz/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,6,Gibby's Gooners
780314416231088158,mikyiis,Mikyiis#MKY,https://tracker.gg/valorant/profile/riot/Mikyiis%23MKY/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Proximity Esports
854851299941154827,patchesafk,PatchesAFK#IWNL,https://tracker.gg/valorant/profile/riot/PatchesAFK%23IWNL/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Proximity Esports
888790065667538954,friedpop.,popp#tarts,https://tracker.gg/valorant/profile/riot/Popp%23tarts/overview?playlist=premier&platform=pc&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Proximity Esports
111630347548041216,vaibhav,Vaibhav#IL Re,https://tracker.gg/valorant/profile/riot/Vaibhav%23IL%20Re/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Proximity Esports
1295759011747991689,yuzik111,ELCTN soyorin#ZXNNJ,https://tracker.gg/valorant/profile/riot/ELCTN%20soyorin%23ZXNNJ/overview?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Proximity Esports
1276640399980494918,chief_queef___10708,The mango#r2d2,https://tracker.gg/valorant/profile/riot/The%20mango%23R2D2/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,4,Misfits
813436735182078012,vlooshies,Vlooshies#2138,https://tracker.gg/valorant/profile/riot/vlooshies%232138/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Misfits
